Global_ID,Plot,ENTRY,REP,IBLK,Rng,Pas,Name,Identity1,Pedigree,Trial,Origin,Selection,Description1,Year,Location,Planter,Harvester,PLOTWT,MOIST,FLWR,HT,LDG,MTR,DS,P_FT,NOTES,yield,CBB,DD,SDWT2,StandCount_gr,boxes_gt,pred_count_01,boxes_gt_10m_6_13_22,pred_count_7m_6_10_22,plant_pop_total,avg_dist_plot,2pl_plot,gap_plant_plot
2201_3005,3005,17,3,1,7,7,B10244,ZENITH,"B04644/ZORRO, ZENITH",2201,08B118 -02-02,NA,NA,2022,SVREC,85,1207,1573.99,20.07,47,38,2,101,5,16,NA,27.65,1,3,24.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3006,3006,4,3,1,7,8,B18504,ADAMS,"Zenith//Alpena*/B09197, ADAMS",2201,14B217-02-01-R,NA,14A0217-14L217-14-15T938-15T1117-15-16T41-R109,2022,SVREC,98,1208,1460.59,20.3,48,36,3,100,5,16,NA,25.59,1,2,23.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3007,3007,21,3,2,8,3,I21901,NIMBUS,"BL14500, NIMBUS",2201,PROVITA,NA,BLK,2022,SVREC,34,1598,1061.42,20.29,49,35,2,102,4,16,NA,18.6,1,3,25.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3008,3008,25,3,2,8,4,B21708,NA,B15430/B16504,2201,18B217-09-05,20T2289,18A0217-18L216-18-19T507-19T1227-20T2289,2022,SVREC,45,1597,1025.14,19.94,47,47,1,98,4,16,NA,18.04,1,1,23.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3009,3009,11,3,2,8,5,B20639,NA,B17730/B15430,2201,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,2022,SVREC,60,1596,1152.14,20.22,48,38,2,101,6,16,NA,20.2,1,2,22.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3010,3010,14,3,2,8,6,B20617,NA,B17106/N14218,2201,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,2022,SVREC,71,1595,1324.51,19.21,47,39,1,97,4,16,NA,23.52,2,1,24.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3011,3011,16,3,2,8,7,B19340,NA,B16507/B15453,2201,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,2022,SVREC,86,1594,1428.84,19.62,50,50,1,97,4,16,NA,25.24,1,1,26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3012,3012,20,3,2,8,8,B20547,NA,B16501/B16504,2201,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,2022,SVREC,97,1593,1478.74,20.17,47,38,1,98,4,16,NA,25.95,1,1,25.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3013,3013,22,3,3,9,3,I19703,BLACK BEARD,"BL14506, BLACK BEARD",2201,"Provita, BL14506",NA,BLK,2022,SVREC,35,1603,1124.93,19.57,49,49,2,102,6,16,NA,19.89,2,3,27.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2201_3014,3014,34,3,3,9,4,B21711,NA,B16501/B15430,2201,18B227-08-06,20T2320,18A0227-18L224-18-19T570-19T1259-20T2320,2022,SVREC,44,1604,1605.74,20.28,46,50,2,98,5,16,NA,28.14,1,2,25.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
